tbch;normalized;name;hash;flag
;Zaporizhzhya National University, 7, Engineer Preobrazhensky ave., Zaporizhia, 69000, Ukraine;Zaporizhzhya National University, 7, Engineer Preobrazhensky ave., Zaporizhia, 69000, Ukraine;1, 68E+17;originally correct
;Zaporizhzhya National University, 9, Engineer Preobrazhensky Ave., Zaporizhia, 69000, Ukraine;Zaporizhzhya National University, 9, Engineer Preobrazhensky Ave., Zaporizhia, 69000, Ukraine;4, 46E+18;originally correct
;Zaporizhzhya National University, Faculty of Biology, Zhukovsky Str. 66, Zaporizhzhya, 69095, Ukraine;Zaporizhzhya National University, Faculty of Biology, Zhukovsky Str. 66, Zaporizhzhya, 69095, Ukraine;5, 36E+18;originally correct
;Zaporizhzhya National University, Faculty of Biology, Zhukovsky Str., 66, Zaporizhzhya, 69095, Ukraine;Zaporizhzhya National University, Faculty of Biology, Zhukovsky Str., 66, Zaporizhzhya, 69095, Ukraine;3, 69E+18;originally correct
;Zaporizhzhya National University, Zaporizhzhya, 69063, Zhukovskiy str., 66, Ukraine;Zaporizhzhya National University, Zaporizhzhya, 69063, Zhukovskiy str., 66, Ukraine;7, 57E+18;originally correct
;Zaporizhzhya National University, Zaporizhzhya, Ukraine;Zaporizhzhya National University, Zaporizhzhya, Ukraine;-1,97E+18;originally correct
;Zaporizhzhya National University, Zhukovsky str., 66, Zaporizhzhia, 69063, Ukraine;Zaporizhzhya National University, Zhukovsky str., 66, Zaporizhzhia, 69063, Ukraine;4, 49E+18;originally correct
;Zaporizhzhya State Engineering Academy, Ukraine;Zaporizhzhya State Engineering Academy, Ukraine;2, 01E+17;originally correct
;Zaporizhzhya State University, 66 Zhukovskogo st., Zaporizhzhya, 69600, Ukraine;Information Technologies, Zaporizhzhya State University, 66 Zhukovskogo st., Zaporizhzhya, 69600, Ukraine;-6,09E+18;first neither uni nor dep
;Zaporizhzhzya State Engineering Academy, Zaporizhzhya, Ukraine;Dept. of Material Science and Metal Forming, Zaporizhzhzya State Engineering Academy, Zaporizhzhya, Ukraine;-2,55E+18;first neither uni nor dep
;Zaporozhe State Medical University, Zaporozhe, Ukraine;Zaporozhe State Medical University, Zaporozhe, Ukraine;3, 46E+17;originally correct
;Zaporozhe State University, Zaporozhe 690035, Ukraine;Zaporozhe State University, Zaporozhe 690035, Ukraine;1, 16E+17;originally correct
;Zaporozhie Nuclear Power Plant, Energodar, Ukraine;Zaporozhie Nuclear Power Plant, Energodar, Ukraine;-8,54E+18;first neither uni nor dep
;Zaporozhye National Technical University, Department of Theoretical and General Electric Engineering, Zaporozhye, Ukraine;Zaporozhye National Technical University, Department of Theoretical and General Electric Engineering, Zaporozhye, Ukraine;-8,92E+18;originally correct
;Zaporozhye National University, 69063 Zaporozhye, Zhukovskogo st. 66, Ukraine;Zaporozhye National University, 69063 Zaporozhye, Zhukovskogo st. 66, Ukraine;3, 05E+18;originally correct
;Zaporozhye National University, Zaporozhye, Ukraine;Zaporozhye National University, Zaporozhye, Ukraine;6, 63E+18;originally correct
;ZaporozhYe State Medical University, Ministry of Public Health of Ukraine, Zaporozhye, Ukraine;ZaporozhYe State Medical University, Ministry of Public Health of Ukraine, Zaporozhye, Ukraine;6, 22E+18;originally correct
;Zaporozhye State Medical University, Zaporizhzhia, Ukraine;Zaporozhye State Medical University, Zaporizhzhia, Ukraine;3, 76E+18;originally correct
;Zaporozhye State Medical University, Zaporozhye 69035, 26 Mayakovskyi Ave, Ukraine;Zaporozhye State Medical University, Zaporozhye 69035, 26 Mayakovskyi Ave, Ukraine;1, 57E+17;originally correct
;Zaporozhye State Medical University, Zaporozhye 69035, Ukraine;Zaporozhye State Medical University, Zaporozhye 69035, Ukraine;4, 53E+18;originally correct
;Zaporozhye State Medical University, Zaporozhye, 69035, Ukraine;Zaporozhye State Medical University, Zaporozhye, 69035, Ukraine;-5,24E+18;originally correct
;Zaporozhzhia National University, Zaporizhzhia, Ukraine;Zaporozhzhia National University, Zaporizhzhia, Ukraine;-8,66E+18;originally correct
;Zaporozhzhia State Medical University, 26, Mayakovsky Ave., Zaporozhzhia, 69000, Ukraine;Zaporozhzhia State Medical University, 26, Mayakovsky Ave., Zaporozhzhia, 69000, Ukraine;5, 43E+18;originally correct
;Zaporozh State Medical University, 69059 Zaporozh, 28 prosp. Mayakovskogo, Ukraine;Zaporozh State Medical University, 69059 Zaporozh, 28 prosp. Mayakovskogo, Ukraine;2, 85E+18;originally correct
