tbch;normalized;name;hash;flag
;-;Ferenc Rakoczi II Transcarpathian Hungarian College of Higher Education, Transcarpathia, Beregszász, 90200, Ukraine;-5,56E+18;first neither uni nor dep
;-;M. V. Lomonosov Moscow State University, Moscow, Crimea, Ukraine;-4,93E+18;originally correct
;-;M. V. Lomonosov Moscow State University, Sternberg Astoronomical Institute, Crimea, Nauchny 6/9, Ukraine;8, 41E+18;originally correct
;21 Universytetska false, 21 Universytetska Str., Uzhhorod, 88017, Ukraine;Institute of Electron Physics of the NAS of Ukraine, 21 Universytetska Str., Uzhhorod, 88017, Ukraine;-1,58E+18;changed 1st dep by 2nd uni
;5, Ukraine;5, Ukraine;8, 98E+18;first neither uni nor dep
;98409 Crimea, P/O Nauchny, Ukraine;98409 Crimea, P/O Nauchny, Ukraine;2, 88E+18;first neither uni nor dep
;A. Pidgorny Institute of Mechanical Engineering Problems of the National Academy of Sciences of Ukraine, 2/10 Pozharskogo Street, Kharkiv, 61046, Ukraine;A. Pidgorny Institute of Mechanical Engineering Problems of the National Academy of Sciences of Ukraine, 2/10 Pozharskogo Street, Kharkiv, 61046, Ukraine;1, 41841E+18;both 1st uni and dep
;A. Usikov Institution of Radiophysics and Electronics of Ukraine Academy of Sciences, Kharkiv, 61085, 12, Ac. Proskura Str., Ukraine;A. Usikov Institution of Radiophysics and Electronics of Ukraine Academy of Sciences, Kharkov, 61085, 12, Ac. Proskura Str., Ukraine;-6,55E+18;originally correct
;A. Usikov Institution of Radiophysics and Electronics of Ukraine Academy of Sciences, Kharkiv, 61085, 12, Ac. Proskura Str., Ukraine;A.Ya. Usikov Inst. for Radiophysics and Electronics of the Natl. Academy of Sciences of Ukraine 12, Kharkiv 61085, Academician Proskura St, Ukraine;-4,00E+18;originally correct
;A.A. Zelensky National Aerospace University, Department of Information and Communication Technologies, Kharkiv, Ukraine;A.A. Zelensky National Aerospace University, Department of Information and Communication Technologies, Kharkov, Ukraine;-4,66E+18;originally correct
;A.S. Popov Odesa National Academy of Telecommunications, A.S. Popov Odesa National Academy of Telecommunications, Odesa, Ukraine;TV and SB Department, A.S. Popov Odessa National Academy of Telecommunications, Odessa, Ukraine;4, 40E+18;changed 1st dep by 2nd uni
;A.V. Bogatsky Physico-Chemical Institute of National Academy of Sciences of Ukraine, 65080 Odesa, Lustdorfskaya doroga 86, Ukraine;A.V. Bogatsky Physico-Chemical Institute of National Academy of Sciences of Ukraine, 65080 Odessa, Lustdorfskaya doroga 86, Ukraine;-1,91E+18;both 1st uni and dep
;A.V. Bogatsky Physico-Chemical Institute of National Academy of Sciences of Ukraine, 65080 Odesa, Lustdorfskaya doroga 86, Ukraine;A.V. Bogatsky Physico-Chemical Institute of National Academy of Sciences of Ukraine, Lustdorfskaya Doroga 86, Odessa, 65080, Ukraine;7, 22375E+18;both 1st uni and dep
;A.V. Dumansky Institute of Colloid Chemistry and Water Chemistry of the National Academy of Sciences of Ukraine, 42 Vernadsky Avenue, P.O. Box 03142, Kyiv, Ukraine;A.V. Dumansky Institute of Colloid Chemistry and Water Chemistry of the National Academy of Sciences of Ukraine, 42 Vernadsky Avenue, P.O. Box 03142, Kyiv, Ukraine;-6,28E+18;both 1st uni and dep
;A.Ya.Usikov Institute for Radiophysics and Electronics, Kharkiv, Ukraine;Dept. of Quantum Electronics and Non-linear Optics, A.Ya.Usikov Institute for Radiophysics and Electronics, Kharkiv, Ukraine;-4,25E+18;first neither uni nor dep
;Abto Software LLC, 77/T77 Heroiv UPA St., Lviv, Ukraine;Abto Software LLC, 77/T77 Heroiv UPA St., Lviv, Ukraine;-7,74E+18;first neither uni nor dep
;Abto Software LLC, 77/T77 Heroiv UPA St., Lviv, Ukraine;ABTO Software LLC, Lviv, Ukraine;-1,71E+18;first neither uni nor dep
;Acadamy of Labour, Social relations and tourism, Kyiv, Ukraine;Acadamy of Labour, Social relations and tourism, Kyiv, Ukraine;-4,68E+17;first neither uni nor dep
;Academic Affairs and Integrated Development, Kyiv National University of Construction and Architecture, Kyiv, Ukraine;Academic Affairs and Integrated Development, Kyiv National University of Construction and Architecture, Kyiv, Ukraine;-3,04E+18;first neither uni nor dep
;Academic Work and Regional Development, Kyiv National University of Construction and Architecture, Kyiv, Ukraine;Academic Work and Regional Development, Kyiv National University of Construction and Architecture, Kyiv, Ukraine;5, 88E+18;first neither uni nor dep
;Academician Stepan Demianchuk International University of Economics and Humanities, 4, Acad. S. Demianchuk Str, Rivne, 33000, Ukraine;Academician Stepan Demianchuk International University of Economics and Humanities, 4, Acad. S. Demianchuk Str, Rivne, 33000, Ukraine;4, 86E+18;originally correct
;Academician Y. Bugay International Scientific and Technical University, Kyiv, 02094, Ukraine;Department of Computer Science and Software Engineering, Academician Y. Bugay International Scientific and Technical University, Kyiv, Ukraine;8, 68E+18;changed 1st dep by 2nd uni
;Academician Y. Bugay International Scientific and Technical University, Kyiv, 02094, Ukraine;Academician Y. Bugay International Scientific and Technical University, Kyiv, 02094, Ukraine;-3,46E+18;originally correct
;Academician Y. Bugay International Scientific and Technical University, Kyiv, 02094, Ukraine;Department of Computer Sciences and Software Engineering, Academician Yuriy Bugay International Scientific and Technical University, Mahnitohorskyi lane, 3, Kyiv, 02094, Ukraine;6, 80E+18;changed 1st dep by 2nd uni
;Academician Y. Bugay International Scientific and Technical University, Kyiv, 02094, Ukraine;Senior Researcher, Research Laboratory of Applied Materials Science Donbass Institute of Technique and Management Private Higher Educational Establishment, «Academician Yuriy Bugay International Scientific and Technical University», Mashynobudivnykiv blvd. 32, Kramatorsk, 84313, Ukraine;-9,22E+18;first neither uni nor dep
;Academy of Advocacy, Kyiv, Ukraine;Academy of Advocacy, Kyiv, Ukraine;9, 17E+18;originally correct
;Academy of Cognitive and Natural Sciences, 54 Gagarin Ave., Kryvyi Rih, 50086, Ukraine;Academy of Cognitive and Natural Sciences, 54 Gagarin Ave., Kryvyi Rih, 50086, Ukraine;6, 15E+18;originally correct
;Academy of Fire Safety, Cherkassy, Ukraine;Academy of Fire Safety, Cherkassy, Ukraine;5, 88E+17;originally correct
;Academy of Labour, Social Relations and Tourism, Kyiv, Ukraine;Academy of Labour Social Relations and Tourism, 3-A, Kiltseva doroha, Kyiv, 03187, Ukraine;-1,40E+18;originally correct
;Academy of Labour, Social Relations and Tourism, Kyiv, Ukraine;Academy of Labour, Social Relations and Tourism, Kyiv, Ukraine;1, 17E+18;originally correct
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Institute of Gerontology, Academy of Medical Science, Kyiv, Ukraine;-2,16E+18;changed 1st dep by 2nd uni
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Institute of Endocrinology and Metabolism, Academy of Medical Sciences of Ukraine, 254114 Kiev, Vyshgorodskaya Street 69, Ukraine;1, 00E+18;changed 1st dep by 2nd uni
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Institute of Pharmacology and Toxicology, Academy of Medical Sciences of Ukraine, Kiyev, Ukraine;-2,50E+18;changed 1st dep by 2nd uni
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Komissarenko Institute of Endocrinology and Metabolism, Academy of Medical Sciences of Ukraine, Kyiv, Ukraine;5, 11E+18;changed 1st dep by 2nd uni
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Institute of Genetic and Regenerative Medicine, Academy of Medical Sciences, Kiev, Ukraine;-2,45E+18;changed 1st dep by 2nd uni
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Academy of Mining Sciences, 37 Pushkina Str, Kryvyi Rih, 50027, Ukraine;3, 84E+18;originally correct
;Academy of Public Administration under the President of Ukraine, Academy of Public Administration under the President of Ukraine, Department of Management and Project Management, Dnipro, Ukraine;Dnepropetrovsk Regional Institute of Public Administration of the National, Academy of Public Administration under the President of Ukraine, Department of Management and Project Management, Dnipro, Ukraine;-5,29E+18;changed 1st dep by 2nd uni
;Academy of Recreational Technologies and Law, Lutsk, 43008, Ukraine;Academy of Recreational Technologies and Law, Lutsk, 43008, Ukraine;-4,60E+18;originally correct
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Academy of Science. Kiev, Ukraine;-8,00E+18;originally correct
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Space Research Institute of National, Academy of Sciences of Ukraine and State Space Agency of Ukraine, 40 prosp. Glushkov, build.4/1, Kyiv, 03680, Ukraine;3, 66E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;International Research and Training Center for Information Technologies and System National, Academy of Science of Ukraine, Ministry Education and Science, Kiev, Ukraine;2, 06E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Glushkov Institute of Cybernetics, Academy of Sciences of Ukraine, 40 Glushkova ave., Kyiv, 03187, Ukraine;6, 75E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Institute Of Cybernetics Of National, Academy Of Sciences Of Ukraine, Department Of Intelligent Information Technologies, Kyiv, Ukraine;-7,10E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;V.E. Lashkaryov Institute of Semiconductor Physics of National, Academy of Sciences of Ukraine, Kinetic Phenomena and Polaritonics Department, Kyiv, Ukraine;8, 06E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Institute of Semiconductor Physics National, Academy of Sciences of Ukraine, Kyiv, 03028, 41 Nauki Av., Ukraine;-9,09E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Karpenko Physico-Mechanical Institute of the National, Academy of Sciences of Ukraine, Lviv, Ukraine;1, 64E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Institute for Applied Systems Analysis, Academy of Sciences of Ukraine, Ministry of Education and Science of Ukraine, Kyiv, Ukraine;-1,59E+17;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Academy of Technological Sciences of Ukraine, National University of Kiev, Kiev, Ukraine;7, 43E+18;originally correct
;Academy of the State Penitentiary Service, Academy of the State Penitentiary Service, 34, Honcha Street, Chernihiv, 14000, Ukraine;Department of Pedagogy and Humanities, Academy of the State Penitentiary Service, 34, Honcha Street, Chernihiv, 14000, Ukraine;-3,83E+18;changed 1st dep by 2nd uni
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Department of Maritime and Commercial Law, Admiral Makarov National University of Shipbuilding, Mykolaiv, Ukraine;2, 62E+18;changed 1st dep by 2nd uni
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Heroes of Ukraine Ave., 9, Mykolaiv, UA-54025, Ukraine;-5,80E+18;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Heroiv Ukrainy Avenue 9, Mykolaiv, 54007, Ukraine;4, 25E+18;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Kherson Branch, Kherson, Ukraine;7, 50E+18;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Mykolaiv, 54025, Heroiv Stalinhradu Ave., 9, Ukraine;-9,03E+18;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Mykolaiv, 54025, Ukraine;-6,35E+18;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Mykolaiv, Ukraine;3, 34E+18;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Mykolayiv, Ukraine;-3,58E+17;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;-6,26E+18;originally correct
;Advisory and Research Company, Sevastopol, Ukraine;Advisory and Research CompanyDVS Ltd., Sevastopol, Ukraine;7, 42E+18;first neither uni nor dep
;"Aerospace Research of the Earth of IGS of NAS of Ukraine, Kyiv, Ukraine""";State Inst. Sci. Ctr. for Aerosp. Res. of the Earth of the Inst. of Geol. Sci. of the Natl. Acad. of Sci. of Ukraine, Ukraine;-7,28E+18;first neither uni nor dep
;"Aerospace Research of the Earth of IGS of NAS of Ukraine, Kyiv, Ukraine""";"State Institution ""Scientific Centre for Aerospace Research of the Earth of IGS of NAS of Ukraine"", Kyiv, Ukraine";-5,94E+18;first neither uni nor dep
;Aerospace University M.E. Zhukovsky KhAI, Cycle Comission of General Education Disciplines, Kharkiv, Ukraine;Kharkiv Prof. Coll. of Information Technologies of National Aerospace University M.E. Zhukovsky KhAI, Cycle Comission of General Education Disciplines, Kharkiv, Ukraine;4, 29E+18;originally correct
;Agency of Industrial Marketing, Kyiv, Ukraine;Agency of Industrial Marketing, Kiev, Ukraine;-6,78E+18;first neither uni nor dep
;AI-labs, Kyiv, Ukraine;AI-labs, Kyiv, Ukraine;6, 71E+18;first neither uni nor dep
;Air Forces University, Air Forces University, Kharkiv, Ukraine;Scientific Center, Air Forces University, Kharkov, Ukraine;-7,49E+18;changed 1st dep by 2nd uni
;Aircraft Radio-Electronic Systems Design, Zhukovsky National Aerospace University, KhAI, Kharkiv, Ukraine;Aircraft Radio-Electronic Systems Design, Zhukovsky National Aerospace University, KhAI, Kharkiv, Ukraine;-6,32E+18;first neither uni nor dep
;Aircraft Radio-Electronic Systems Design, Zhukovsky National Aerospace University, Khai, Kharkiv, Ukraine;Aircraft Radio-Electronic Systems Design, Zhukovsky National Aerospace University, Khai, Kharkiv, Ukraine;-6,19E+18;first neither uni nor dep
;Aisblik Company, Odesa, Ukraine;Aisblik Company, Odessa, Ukraine;-6,10E+18;first neither uni nor dep
;Alfred Nobel University, Dnipro, Ukraine;Alfred Nobel University, 18 Naberezhna Sicheslavska Str., Dnipro, 49000, Ukraine;-7,72E+18;originally correct
;Alfred Nobel University, Dnipro, Ukraine;Alfred Nobel University, 18 Sicheslavska Naberezhna Str., Dnipro, 49000, Ukraine;-9,37E+17;originally correct
;Alfred Nobel University, Dnipro, Ukraine;Alfred Nobel University, 18, Sicheslavska Naberezhna Str., Dnipro, 49000, Ukraine;1, 46E+18;originally correct
;Alfred Nobel University, Dnipro, Ukraine;Department of International Trade and Entrepreneurship, Alfred Nobel University, Dnipro, Ukraine;8, 00E+17;changed 1st dep by 2nd uni
;Alfred Nobel University, Dnipro, Ukraine;Department of Economic Cybernetics and Mathematical Methods in Economics, Alfred Nobel University, Dnipropetrovsk, Ukraine;6, 84E+18;changed 1st dep by 2nd uni
;Alfred Nobel University, Dnipro, Ukraine;Department of Innovative Management and Financial Analytics, Alfred Nobel University, Ukraine;4, 29E+18;changed 1st dep by 2nd uni
;Alfred Nobel University, Dnipro, Ukraine;Department of International Trade and Entrepreneurship, Alfred Nobel University, Ukraine;3, 78E+18;changed 1st dep by 2nd uni
;Alfred Nobel University, Dnipro, Ukraine;Alfred Nobel University, Dnipro, Ukraine;-3,90E+18;originally correct
;All-Ukraine State Sci. and Prod. Ctr. for Standardization, Metrol., Cert., and Consumer Protection, Kyiv, Ukraine;All-Ukraine State Sci. and Prod. Ctr. for Standardization, Metrol., Cert., and Consumer Protection, Kiev, Ukraine;2, 23E+18;first neither uni nor dep
;All-Ukrainian Public Organization «Association of Pediatric Neurologist of Ukraine, Ukraine;All-Ukrainian Public Organization «Association of Pediatric Neurologist of Ukraine, Ukraine;4, 48E+18;first neither uni nor dep
;Altran/Lohika, Lviv, Ukraine;Advaned Technologies, Altran/Lohika, Lviv, Ukraine;8, 71E+16;first neither uni nor dep
;Amosov National Institute of Cardiovascular Surgery of the National Academy of Medical Sciences of Ukraine, Kyiv, Ukraine;Amosov National Institute of Cardiovascular Surgery of the National Academy of Medical Sciences of Ukraine, Kyiv, Ukraine;7, 81271E+18;both 1st uni and dep
;Anat Company, Lviv, Ukraine;ANAT Company, Chervona Kalyna ave., 104, Lviv, 79049, Ukraine;-8,32E+18;first neither uni nor dep
;Anat Company, Lviv, Ukraine;Anat Company, Chervona Kalyna Avenue, 104, Lviv, 79049, Ukraine;-1,27E+18;first neither uni nor dep
;Anat Company, Lviv, Ukraine;Anat Company, Lviv, Ukraine;2, 19E+18;first neither uni nor dep
;Andrushivka Astronomical Observatory, Galchyn, Zhytomyr Region, UA-13400, Ukraine;Andrushivka Astronomical Observatory, Galchyn, Zhytomyr Region, UA-13400, Ukraine;-5,77E+18;originally correct
;Army Academy Named after Hetman Petro Sahaydachnyi, Lviv, Ukraine;Scientific Centre, Army Academy Named after Hetman Petro Sahaydachnyi, Lviv, Ukraine;-4,15E+17;first neither uni nor dep
;ARSENAL SDP SE, State Space Agency of Ukraine, Kyiv, Ukraine;ARSENAL SDP SE, State Space Agency of Ukraine, Kyiv, Ukraine;-7,15E+18;first neither uni nor dep
;ARSENAL SDP SE, State Space Agency of Ukraine, Kyiv, Ukraine;Arsenal Special Device Production State Enterprise, State Space Agency of Ukraine, Kiev, Ukraine;-2,35E+17;first neither uni nor dep
;Artificial Intelligence, Institute of Mathematical Machines and System Problems NANU, IMMSP, Kyiv, Ukraine;Artificial Intelligence, Institute of Mathematical Machines and System Problems NANU, IMMSP, Kiev, Ukraine;7, 90E+18;first neither uni nor dep
;Association Noosphere, Dnipro, Ukraine;Candidate of Technical Sciences, Association Noosphere, Dnipro, Ukraine;4, 80E+18;first neither uni nor dep
;Association Noosphere, Ukraine;Association Noosphere, Ukraine;-3,61E+18;first neither uni nor dep
;Automation and Energy Saving National University of Life and Environmental Sciences of Ukraine, Kyiv, Ukraine;Educational and Scientific Institute of Energy, Automation and Energy Saving National University of Life and Environmental Sciences of Ukraine, Kyiv, Ukraine;3, 91E+18;changed 1st dep by 2nd uni
;Aviation University, Department of Aviation Computer-Integrated Complexes National, Kyiv, Ukraine;Aviation University, Department of Aviation Computer-Integrated Complexes National, Kiev, Ukraine;6, 73E+18;originally correct
;Aviation University, Flight Academy of the National, Kropyvnytskyi, Ukraine;Aviation University, Flight Academy of the National, Kropyvnytskyi, Ukraine;7, 80E+18;originally correct
;Azov State Technical University, Mariupol, Ukraine;Azov State Technical University, Mariupol, Ukraine;-4,46E+18;originally correct
;Azovstal Metallurgical Combine, Mariupol, Ukraine;Azovstal Metallurgical Combine, Mariupol, Ukraine;-6,05E+18;first neither uni nor dep
;Banking University, 55 Peremoga Ave., Kharkiv, 61174, Ukraine;Sevastopol Banking Institute, Banking University of the National Bank of Ukraine, Sevastopol, Crimea, Ukraine;-4,92E+18;changed 1st dep by 2nd uni
;Banking University, 55 Peremoga Ave., Kharkiv, 61174, Ukraine;"Kharkiv Educational and Scientific Institute of SHEI ""Banking University"", 55 Peremoga Ave., Kharkiv, 61174, Ukraine";3, 3302E+18;both 1st uni and dep
;Banking University, 55 Peremoga Ave., Kharkiv, 61174, Ukraine;Kharkiv Educational and Research Institute of Banking University, 55, Peremogy Avenue, Kharkiv, 61174, Ukraine;-1,49E+18;both 1st uni and dep
;Banking University, 55 Peremoga Ave., Kharkiv, 61174, Ukraine;"Kharkiv Educ. and Sci. Institute of State Higher Educational Institution (SHEI) ""Banking University"", Kharkiv, Ukraine";-1,29E+18;both 1st uni and dep
;Banking University, 55 Peremoga Ave., Kharkiv, 61174, Ukraine;Kharkiv Educational and Scientific Institute of State Higher Educational Institution (SHEI) Banking University, Kharkiv, Ukraine;5, 04808E+18;both 1st uni and dep
;Banking University, 55 Peremoga Ave., Kharkiv, 61174, Ukraine;"Kharkiv Educational and Scientific Institute of State Higher Educational Institution (SHEI) ""Banking University"", Kharkiv, Ukraine";2, 19944E+18;both 1st uni and dep
;Banking University, 55 Peremoga Ave., Kharkiv, 61174, Ukraine;Kharkiv Educational and Research Institute of the University of Banking, Peremogy Avenue 55, Kharkіv, 61174, Ukraine;-5,65E+18;both 1st uni and dep
;Banking University, 55 Peremoga Ave., Kharkiv, 61174, Ukraine;Sevastopol Banking Institute, Banking University, National Bank of Ukraine, Sevastopol, Crimea, Ukraine;-6,03E+18;changed 1st dep by 2nd uni
;Banking University, 55 Peremoga Ave., Kharkiv, 61174, Ukraine;Banking University, Cherkasy Institute, Chornovil str., 164, Cherkasy, Ukraine;6, 56E+18;originally correct
;Banking University, 55 Peremoga Ave., Kharkiv, 61174, Ukraine;Banking University, Kiev, 04070, Ukraine;-1,20E+18;originally correct
;Bees Airlines, Ukraine;Bees Airlines, Ukraine;-6,62E+18;first neither uni nor dep
;Beketov National University of Urban Economy, Kharkiv, Ukraine;Beketov National University of Urban Economy, Kharkiv, Ukraine;7, 95E+18;originally correct
;Berdiansk University of Management and Business, Berdiansk, Ukraine;Berdiansk University of Management and Business, Berdiansk, Ukraine;4, 80E+18;originally correct
;Berdyansk State Pedagigical University, Berdyansk, Ukraine;Berdyansk State Pedagigical University, Berdyansk, Ukraine;-3,89E+18;originally correct
;Berdyansk State Pedagigical University, Berdyansk, Ukraine;Berdyansk State Pedagogical University, 21 Shmidt Str., Berdyansk, 71100, Ukraine;-1,60E+18;originally correct
;Berdyansk State Pedagigical University, Berdyansk, Ukraine;Berdyansk State Pedagogical University, 4 Schmidt Str., Berdyansk, 71100, Ukraine;4, 79E+18;originally correct
;Berdyansk State Pedagigical University, Berdyansk, Ukraine;Berdyansk State Pedagogical University, 4 Shmidta Str., Berdyansk, 71100, Ukraine;5, 65E+18;originally correct
;Berdyansk State Pedagigical University, Berdyansk, Ukraine;Berdyansk State Pedagogical University, 4, Schmidt Str., Berdyansk, 71100, Ukraine;-1,80E+18;originally correct
;Berdyansk State Pedagigical University, Berdyansk, Ukraine;Berdyansk State Pedagogical University, 4, Schmidta str., Berdyansk, 71100, Ukraine;-6,44E+18;originally correct
;BICA Labs, Kyiv, Ukraine;BICA Labs, Kyiv, Ukraine;-4,28E+18;first neither uni nor dep
;Bienta Ltd., 78 Chervonotkatska str., Kyiv, 02094, Ukraine;Bienta Ltd., 78 Chervonotkatska str., Kiev, 02094, Ukraine;-1,85E+18;first neither uni nor dep
;Bienta Ltd., 78 Chervonotkatska str., Kyiv, 02094, Ukraine;Bienta/Enamine Ltd, 78 Chervonotkatska Street, Kyiv, 02660, Ukraine;-1,69E+18;first neither uni nor dep
;Bienta Ltd., 78 Chervonotkatska str., Kyiv, 02094, Ukraine;Bienta/Enamine Ltd, Chervonotkatska Street 78, Kyiv, 02094, Ukraine;7, 90E+18;first neither uni nor dep
;"Bila Tserkva Institute of Economics and Management of the Open International University of Human Development ""Ukraine"", Ukraine";"Department of Law and Social and Behavioral Sciences of the Bila Tserkva Institute of Economics and Management of the Open International University of Human Development ""Ukraine"", Ukraine";-1,25E+18;both 1st uni and dep
;Bila Tserkva National Agrarian University, Soborna pl., 8/1, Kyiv region, Bila Tserkva, 09117, Ukraine;Department of Accounting and Taxation, Bila Tserkva National Agrarian University, Bila Tserkva, Ukraine;-5,12E+17;changed 1st dep by 2nd uni
;Bila Tserkva National Agrarian University, Soborna pl., 8/1, Kyiv region, Bila Tserkva, 09117, Ukraine;Bila Tserkva National Agrarian University, Department of Geodesy, Cartography and Land Management, Bila Tserkva, Ukraine;8, 76E+17;originally correct
;Bila Tserkva National Agrarian University, Soborna pl., 8/1, Kyiv region, Bila Tserkva, 09117, Ukraine;Bila Tserkva National Agrarian University, Soborna pl., 8/1, Kyiv region, Bila Tserkva, 09117, Ukraine;8, 67E+18;originally correct
;BioPromin LTD, Kharkiv, Ukraine;Scientific Dept, BioPromin LTD, Kharkiv, Ukraine;-6,35E+18;first neither uni nor dep
;BioTechComp, Otto Shmidta st., 2/6, Kyiv, 04107, Ukraine;"Limited Liability Company ""BioTexCom"", Otto Shmidta st., 2/6, Kyiv, 04107, Ukraine";7, 44E+18;first neither uni nor dep
;Biotechnology and Ecology National University of Life and Environmental Sciences of Ukraine, Kyiv, Ukraine;Faculty of Plant Protection, Biotechnology and Ecology National University of Life and Environmental Sciences of Ukraine, Kyiv, Ukraine;-8,06E+18;changed 1st dep by 2nd uni
;Bit Group, Department of Engineering Infrastructure, Kyiv, Ukraine;Llc Bit Group, Department of Engineering Infrastructure, Kyiv, Ukraine;1, 36E+18;first neither uni nor dep
;BITP NASU, Kyiv, Ukraine;BITP NASU, Kiev, Ukraine;-4,18E+18;first neither uni nor dep
;Black Sea Branch of Moscow State University, Sevastopol, Ukraine;Black Sea Branch of Moscow State University, Sevastopol, Ukraine;-4,45E+18;originally correct
;Board of Education of the Vinnytsya Regional State Administration, Vinnytsya, Ukraine;Board of Education of the Vinnytsya Regional State Administration, Vinnytsya, Ukraine;-3,37E+18;first neither uni nor dep
;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Lenin St., Melitopol, 72312, Ukraine;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Hetmanska Str., Melitopol, 72300, Ukraine;-6,61E+18;originally correct
;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Lenin St., Melitopol, 72312, Ukraine;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Hetmanska Str., Melitopol, 72312, Ukraine;-2,47E+18;originally correct
;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Lenin St., Melitopol, 72312, Ukraine;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Lenin St., Melitopol, 72312, Ukraine;-3,99E+18;originally correct
;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Lenin St., Melitopol, 72312, Ukraine;Bogdan Khmelnitsky Melitopol State Pedagogical University, 59 Naukovohomistechka Str., Zaporizhzhia, 69000, Ukraine;-8,32E+18;originally correct
;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Lenin St., Melitopol, 72312, Ukraine;Department of Foreign Languages, Bogdan Khmelnitsky Melitopol State Pedagogical University, Melitopol, Ukraine;-6,57E+18;changed 1st dep by 2nd uni
;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Lenin St., Melitopol, 72312, Ukraine;Bogdan Khmelnitsky Melitopol State Pedagogical University, Hetmanska st., 20, Melitopol, 72318, Ukraine;7, 05E+18;originally correct
;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Lenin St., Melitopol, 72312, Ukraine;Bogdan Khmelnitsky Melitopol State Pedagogical University, Melitopol, Ukraine;3, 41E+18;originally correct
;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Lenin St., Melitopol, 72312, Ukraine;Bogdan Khmelnitsky Melitopol State Pedagogical University, Zaporizhzhia, Ukraine;8, 63E+18;originally correct
;Bogdan Khmelnitsky Melitopol State Pedagogical University, 20 Lenin St., Melitopol, 72312, Ukraine;Bogdan Khmelnytsky Melitopol State Pedagogical University, Hetmanska St. 20, Melitopol, 72300, Ukraine;-5,31E+18;originally correct
;Bogomolets National Medical Uneversity, Kyiv, Ukraine;Bogomolets National Medical Uneversity, Kyiv, Ukraine;-8,01E+18;first neither uni nor dep
;Bogomolets National Medical Uneversity, Kyiv, Ukraine;Bogomolets National Medical University of the Ministry of Health of Ukraine, Department of General Surgery № 1, 59-B, Holosiivskyi Ave, Kyiv, 03150, Ukraine;-6,49E+18;originally correct
